Posted Date,Transaction Date,Transaction Type,Check/Serial #,Description,Amount,Daily Posted Balance
03/03/2025,03/03/2025,Fee,,WIRE TRANSFER FEE,($30),$28257.74
03/04/2025,03/04/2025,POS,,ROYAL CARIBBEAN CR 03-01 800-327-6700 FL 4739 DEBIT CARD PURCHASE,($6245.88),
03/04/2025,03/04/2025,POS,,WESTSIDE TENNIS 03-02 713-7831620 TX 4739 DEBIT CARD PURCHASE,($304.67),
03/04/2025,03/04/2025,POS,,AMAZON MKTPL*HE628 03-03 Amzn.com/bill WA 4739 DEBIT CARD PURCHASE,($12.97),
03/04/2025,03/04/2025,POS,,ROYAL CARIBBEAN CR 03-03 800-327-6700 FL 4739 DEBIT CARD PURCHASE,($2000),
03/04/2025,03/04/2025,POS,,UPWORK * -78579577 03-03 866-262-4478 CA 4739 DEBIT CARD PURCHASE,($926.03),
03/04/2025,03/04/2025,Debit,,03-03-25 VISA DIRECT NY 4739 VENMO *ADAM TACKER VISA MONEY TRANSFER DEBIT,($150),
03/04/2025,03/04/2025,POS,,UBER *EATS 03-04 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($26.66),
03/04/2025,03/04/2025,POS,,UBER *EATS 03-04 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($35.34),
03/04/2025,03/04/2025,Debit,,MTG PMTS TRUIST BANK 6891445502TELEPHONE PAYMENT,($13610.62),$4945.57
03/05/2025,03/05/2025,POS,,TST* ESCALANTE'S - 03-04 THE WOODLANDS TX 4739 DEBIT CARD PURCHASE,($216.28),
03/05/2025,03/05/2025,POS,,AMAZON MKTPL*9H46I 03-04 Amzn.com/bill WA 4739 DEBIT CARD PURCHASE,($12.97),
03/05/2025,03/05/2025,POS,,THE HOME DEPOT #05 03-03 HOUSTONTX 4739 DEBIT CARD PURCHASE,($25.97),
03/05/2025,03/05/2025,Debit,,03-04-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($100),
03/05/2025,03/05/2025,POS,,SHELL SERVICE STATION 03-04-25 BELLAIRE TX 4739 DEBIT CARD PURCHASE-PIN,($11.91),$4578.44
03/06/2025,03/06/2025,POS,,CANTEEN 39 03-05 HUNT VALLEY MD4739 DEBIT CARD PURCHASE,($1.6),
03/06/2025,03/06/2025,POS,,CANTEEN 39 03-05 HUNT VALLEY MD4739 DEBIT CARD PURCHASE,($2.1),
03/06/2025,03/06/2025,POS,,RESUMEBUILDER.COM 03-05 800-442-4189 4739 DEBIT CARD PURCHASE,($23.95),
03/06/2025,03/06/2025,POS,,MCDONALD'S F17578 03-05 HOUSTONTX 4739 DEBIT CARD PURCHASE,($10.36),
03/06/2025,03/06/2025,POS,,UBER *EATS 03-06 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($26.56),
03/06/2025,03/06/2025,POS,,IC* INSTACART 03-06 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($65.54),
03/06/2025,03/06/2025,POS,,IC* INSTACART 03-06 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($14.5),
03/06/2025,03/06/2025,Debit,,Wells Fargo Grillo PAYMENT ID BBT292403323 ZELLE PAYMENT TO,($200),
03/06/2025,03/06/2025,Debit,,Mikhail PAYMENT ID BBT292471749ZELLE PAYMENT TO,($400),
03/06/2025,03/06/2025,Debit,,Wells Fargo Grillo PAYMENT ID BBT292491955 ZELLE PAYMENT TO,($560),$3273.83
03/07/2025,03/07/2025,POS,,CARL D BLOOM DMD P 03-05 HOUSTONTX 4739 DEBIT CARD PURCHASE,($197.4),
03/07/2025,03/07/2025,POS,,GITHUB INC. 03-06 GITHUB.COM CA4739 DEBIT CARD RECURRING PYMT,($10.66),
03/07/2025,03/07/2025,POS,,www.fiverr.com 03-06 New York NY4739 DEBIT CARD PURCHASE,($71.58),
03/07/2025,03/07/2025,POS,,UBER *EATS 03-07 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($46.24),$2947.95
